date,n1,n2,n3,n4,n5,powerball
1992-04-22,2,25,35,41,42,15
1992-04-25,6,9,22,42,44,12
1992-04-29,1,8,10,28,35,10
1992-05-02,14,23,31,32,41,33
1992-05-06,27,29,30,36,43,4
1992-05-09,1,12,16,23,31,33
1992-05-13,3,6,13,33,43,37
1992-05-16,2,9,19,28,30,38
1992-05-20,3,11,16,30,34,45
1992-05-23,23,27,28,36,44,26
1992-05-27,30,32,41,42,44,6
1992-05-30,4,8,17,19,45,9
1992-06-03,1,2,11,19,30,15
1992-06-06,2,6,9,10,42,20
1992-06-10,1,8,24,30,36,28
1992-06-13,13,27,29,42,43,41
1992-06-17,1,9,14,26,32,13
1992-06-20,7,11,15,21,35,12
1992-06-24,9,10,19,36,40,39
1992-06-27,17,23,24,31,35,25
1992-07-01,10,24,31,33,45,30
1992-07-04,5,7,15,22,45,31
1992-07-08,9,25,28,35,43,13
1992-07-11,9,11,24,28,44,20
1992-07-15,12,18,24,30,36,32
1992-07-18,2,5,18,19,35,40
1992-07-22,4,16,18,19,36,3
1992-07-25,15,21,27,32,37,37
1992-07-29,1,12,29,35,42,29
1992-08-01,10,15,17,20,28,29
1992-08-05,8,15,21,26,38,6
1992-08-08,5,14,19,26,30,27
1992-08-12,2,3,6,11,23,33
1992-08-15,7,16,17,42,45,12
1992-08-19,2,5,9,11,17,41
1992-08-22,4,36,40,43,44,43
1992-08-26,6,7,25,33,36,1
1992-08-29,14,17,30,32,41,27
1992-09-02,3,9,16,24,34,5
1992-09-05,3,4,23,24,34,6
1992-09-09,12,17,27,33,37,37
1992-09-12,10,20,22,26,34,35
1992-09-16,9,13,25,33,34,20
1992-09-19,17,19,21,29,36,45
1992-09-23,12,18,20,26,40,11
1992-09-26,17,24,40,44,45,14
1992-09-30,2,9,22,23,24,6
1992-10-03,18,36,39,40,43,5
1992-10-07,9,10,20,31,34,10
1992-10-10,3,8,23,26,35,34
1992-10-14,18,20,23,34,40,2
1992-10-17,5,13,22,28,29,12
1992-10-21,6,23,26,28,29,36
1992-10-24,3,16,24,31,35,16
1992-10-28,1,4,10,18,36,28
1992-10-31,9,15,17,26,43,22
1992-11-04,6,8,9,22,30,36
1992-11-07,2,3,22,39,42,21
1992-11-11,4,31,34,38,44,39
1992-11-14,16,21,24,36,43,19
1992-11-18,15,27,31,35,45,7
1992-11-21,2,28,36,44,45,17
1992-11-25,10,12,14,20,26,35
1992-11-28,11,15,35,39,40,23
1992-12-02,1,4,26,35,42,28
1992-12-05,9,17,19,40,41,31
1992-12-09,6,17,22,27,34,22
1992-12-12,9,28,40,42,44,12
1992-12-16,4,7,11,25,40,24
1992-12-19,11,16,32,37,39,27
1992-12-23,7,12,21,25,31,11
1992-12-26,6,12,17,18,42,17
1992-12-30,1,11,18,30,41,12
1993-01-02,9,12,20,27,35,20
